state_id,state_abbrev,total_state_pop,foreign_born_pop,percent_foreign_born
1000,CA,39237836,10451810,26.60
1001,CO,5812069,570273,9.80
1002,DC,670050,89226,13.30
1003,FL,21781128,4608653,21.20
1004,HI,1441553,270345,18.80
1005,KY,4509394,182011,4.00
1006,MD,6165129,979051,15.90
1007,NC,10551162,869786,8.20
1008,NM,2115877,192634,9.10
1009,NY,19835913,4427356,22.30
1010,OH,11780017,584839,5.00
1011,SD,895376,30983,3.50
1012,TN,6975218,370765,5.30
1013,TX,29527941,5092132,17.20
1014,WA,7738692,1143311,14.80